1950,28,9
1950,19,3
1950,25,3
1950,29,2
1950,25,9
1950,27,1
1950,20,8
1950,25,2
1950,19,3
1950,19,10
1950,25,6
1960,23,1
1960,23,10
1960,22,5
1960,19,4
1960,26,5
1960,21,4
1960,28,2
1960,24,10
1960,20,3
1960,29,9
1960,27,2
1970,27,4
1970,28,3
1970,27,6
1970,26,3
1970,26,4
1970,29,9
1970,25,9
1970,19,6
1970,24,1
1970,24,6
1970,25,1
1980,29,1
1980,23,2
1980,21,6
1980,26,4
1980,19,10
1980,23,4
1980,29,9
1980,22,1
1980,20,7
1980,28,6
1980,21,5
1990,24,9
1990,24,5
1990,29,7
1990,24,10
1990,22,5
1990,20,4
1990,21,2
1990,25,5
1990,29,4
1990,24,3
1990,23,2
2000,24,2
2000,27,3
2000,20,4
2000,24,8
2000,26,6
2000,25,8
2000,19,6
2000,26,9
2000,28,5
2000,23,1
2000,21,10
2010,29,10
2010,26,6
2010,29,7
2010,20,9
2010,20,2
2010,28,7
2010,28,5
2010,21,4
2010,24,2
2010,20,10
2010,24,5
